Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.2,99943459,1,99943459.0,99943459.0,99943459,99943459,0.0,cuCtxCreate_v2
0.8,785303,7,112186.1,100050.0,50174,227783,59485.5,cuMemHostRegister_v2
0.3,267445,7,38206.4,34867.0,24319,73771,16254.4,cuMemHostUnregister
0.2,192894,9,21432.7,7665.0,3509,124407,38774.7,cuMemAlloc_v2
0.1,128881,4,32220.3,32585.0,21714,41997,9368.5,cuModuleLoadDataEx
0.1,81704,18,4539.1,3444.5,1450,11816,3206.6,cuMemcpyHtoDAsync_v2
0.1,79264,12,6605.3,4735.0,2344,19377,4942.6,cuLaunchKernel
0.1,51264,4,12816.0,9399.5,7110,25355,8459.4,cuMemsetD8_v2
0.0,41787,8,5223.4,5044.5,1230,12795,3883.5,cuStreamCreate
0.0,32949,4,8237.3,7185.5,5190,13388,3642.2,cuModuleUnload
0.0,17724,75,236.3,123.0,48,1487,296.9,cuCtxSetCurrent
0.0,17621,54,326.3,173.0,124,1841,350.1,cuEventRecord
0.0,17445,36,484.6,281.0,153,2478,519.4,cuStreamWaitEvent
0.0,16335,54,302.5,253.0,109,982,195.7,cuEventCreate
0.0,14685,6,2447.5,2081.5,1554,4737,1213.6,cuMemcpyDtoHAsync_v2
0.0,13838,5,2767.6,2315.0,1713,5677,1651.8,cuMemFree_v2
0.0,10490,7,1498.6,1036.0,865,4427,1294.6,cuStreamDestroy_v2
0.0,8495,12,707.9,384.0,280,3935,1027.6,cuCtxSynchronize
0.0,6359,51,124.7,86.0,67,1401,186.7,cuEventDestroy_v2
0.0,3981,3,1327.0,1365.0,1216,1400,97.7,cuStreamSynchronize
