Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
80.9,1760843592,654,2692421.4,1325911.5,192,35716167,7082422.8,cuStreamSynchronize
5.9,128514942,202,636212.6,580312.5,32003,6216658,1081210.2,cuMemHostRegister_v2
4.8,104721715,1,104721715.0,104721715.0,104721715,104721715,0.0,cuCtxCreate_v2
2.9,63829810,202,315989.2,331017.5,14176,2105260,410049.7,cuMemHostUnregister
2.8,61471966,202,304316.7,457753.0,1173,2113420,333062.4,cuMemFree_v2
1.3,27483613,89,308804.6,26907.0,17641,1967819,559136.1,cuModuleLoadDataEx
0.7,15334060,204,75167.0,34526.5,1780,2019342,239035.2,cuMemAlloc_v2
0.2,4824381,2468,1954.8,1348.5,969,46053,2147.5,cuMemcpyHtoDAsync_v2
0.2,3377312,1131,2986.1,1924.0,1280,30490,3201.6,cuLaunchKernel
0.1,1754217,1131,1551.0,1360.0,951,30886,1117.2,cuMemcpyDtoHAsync_v2
0.1,1286160,5170,248.8,221.0,93,24910,545.0,cuEventCreate
0.0,923489,5170,178.6,135.0,112,12854,250.8,cuEventRecord
0.0,651323,5120,127.2,115.5,58,26047,376.7,cuEventDestroy_v2
0.0,586315,2652,221.1,174.0,127,4353,192.5,cuStreamWaitEvent
0.0,556868,89,6256.9,4957.0,2687,24032,4057.1,cuModuleUnload
0.0,439986,5473,80.4,59.0,37,4208,112.0,cuCtxSetCurrent
0.0,201517,404,498.8,389.0,285,4327,421.2,cuCtxSynchronize
0.0,179361,37,4847.6,2093.0,789,59636,9635.4,cuStreamCreate
0.0,99022,9,11002.4,9032.0,7219,20833,4317.3,cuMemsetD8_v2
0.0,62327,36,1731.3,998.5,551,5203,1531.3,cuStreamDestroy_v2
0.0,26543,523,50.8,42.0,35,291,30.2,cuStreamIsCapturing
