Java, Stream, TornadoVM
126867791,91001792,90072417
96332500,21463667,5024875
96438417,21180667,3659375
97669750,18135291,3672667
96640084,16931000,3096041
96569375,15642458,5319500
97350958,15582291,2783167
96737167,16128958,5865458
98082958,17227209,1322542
97222083,17601167,1125459
96995041,17779167,1687208
97614000,17215000,1449500
96599709,15453833,1351959
97274500,16209417,1166917
96937084,15679584,1134875
96161333,14910583,1078000
97477208,15179875,1031250
95948709,15269750,2111958
96894375,14825917,1226208
97184042,15293417,1189417
97099166,15092125,1039792
97126791,14867834,1055500
96958167,16177042,1049833
97087916,15231208,1794542
96852375,15132417,1257750
96941084,16790875,1106333
97102333,14979208,1035917
97287250,14884208,1106875
97338208,14817334,1022458
97779000,15364000,1046333
97739334,15248500,1859791
98019375,14637125,1378709
97156042,15291583,1069750
97696791,14857666,1077000
97814375,15144292,1021667
97626667,15286208,1027834
98260708,15742042,1010708
98069542,16022083,1590625
97595792,16837084,1252167
97438875,15994000,1126083
97601667,15430042,1024542
97861000,15499042,955958
97206166,15535250,1060666
96311209,16189166,995709
97212125,15892958,1451250
98400291,15935917,1751125
96175375,15278875,4207667
99416500,16174166,1007416
100828375,15855209,1839833
99850250,15722917,1076917
98714500,15166958,1119000
100327250,15311250,1017541
99334541,15697917,989709
99222166,15283750,1027958
99486500,16454500,991541
97505417,15791875,1015250
97895292,15501875,1962375
98352416,15296250,1065500
96652333,15198834,1046583
98420375,15696500,989500
99965000,15784917,998666
100645000,15688417,997042
99261792,15302583,993375
99056041,15552291,1949208
99153667,15480417,1068250
99585667,15926834,1073042
99099292,15664958,987792
99067708,16276791,938958
98650833,15821209,1031833
98351500,15700750,980875
97896417,15772541,1765125
102226666,16065334,1396084
108537166,15569375,951208
99771916,15661750,943875
99520458,16307292,932334
106130042,16360500,960417
101870625,16305834,944708
98533958,15500917,943625
98245625,15222084,1888208
97946833,15854875,996250
97652875,16867583,1110042
97137584,16856833,1026000
97132208,16150542,948125
96985209,15688250,965083
99311667,15322208,965000
98589167,15286000,1769708
98603625,15549875,1423959
97676375,15356166,953833
98357458,15659875,975916
99212250,16597541,974291
98924917,15899166,1122417
97998791,15732292,1015458
100104708,15458125,1691042
99308959,14903834,1313958
100521458,15096042,1098083
97951875,14952208,1126500
97689708,15591208,991375
97898458,15346000,1126000
97467583,14755625,1017459
98223708,15756000,1877250
98827167,15170334,1191625
